diameter_um,realised_percent,envelope_low_percent,envelope_high_percent
100.81467890,-0.00142178,-0.08216016,0.03607859
100.81567973,-0.00241772,-0.08315530,0.03508227
100.81668057,-0.00340643,-0.08414321,0.03409319
100.81768140,-0.00440234,-0.08513831,0.03309691
100.81868224,-0.00539101,-0.08612618,0.03210787
100.81968307,-0.00638687,-0.08712124,0.03111164
100.82068390,-0.00737550,-0.08810907,0.03012264
100.82168474,-0.00837132,-0.08910409,0.02912644
100.82268557,-0.00935991,-0.09009188,0.02813748
100.82368641,-0.01035570,-0.09108687,0.02714132
100.82468724,-0.01134425,-0.09207462,0.02615240
100.82568807,-0.01234000,-0.09306956,0.02515628
100.82668891,-0.01333572,-0.09406448,0.02416018
100.82768974,-0.01432422,-0.09505218,0.02317131
100.82869058,-0.01531990,-0.09604706,0.02217525
100.82969141,-0.01630836,-0.09703472,0.02118643
100.83069224,-0.01730400,-0.09802956,0.02019041
100.83169308,-0.01829242,-0.09901717,0.01920163
100.83269391,-0.01928802,-0.10001198,0.01820564
100.83369475,-0.02027640,-0.10099955,0.01721690
100.83469558,-0.02127197,-0.10199432,0.01622096
100.83569641,-0.02226752,-0.10298906,0.01522504
100.83669725,-0.02325583,-0.10397658,0.01423635
100.83769808,-0.02425134,-0.10497129,0.01324047
100.83869892,-0.02523962,-0.10595876,0.01225182
100.83969975,-0.02623509,-0.10695343,0.01125598
100.84070058,-0.02722332,-0.10794087,0.01026737
100.84170142,-0.02821875,-0.10893550,0.00927157
100.84270225,-0.02920695,-0.10992290,0.00828300
100.84370309,-0.03020234,-0.11091748,0.00728723
100.84470392,-0.03119771,-0.11191205,0.00629149
100.84570475,-0.03218585,-0.11289939,0.00530298
100.84670559,-0.03318118,-0.11389392,0.00430728
100.84770642,-0.03416928,-0.11488122,0.00331881
100.84870726,-0.03516457,-0.11587571,0.00232314
100.84970809,-0.03615263,-0.11686297,0.00133471
100.85070892,-0.03714789,-0.11785742,0.00033909
100.85170976,0.19826920,0.11756046,0.23575580
100.85271059,0.19727163,0.11656370,0.23475786
100.85371143,0.19627408,0.11556695,0.23375994
100.85471226,0.19528378,0.11457745,0.23276927
100.85571309,0.19428628,0.11358075,0.23177139
100.85671393,0.19329602,0.11259129,0.23078076
100.85771476,0.19229855,0.11159462,0.22978292
100.85871560,0.19130833,0.11060520,0.22879233
100.85971643,0.19031090,0.10960858,0.22779452
100.86071726,0.18932072,0.10861919,0.22680397
100.86171810,0.18832333,0.10762261,0.22580621
100.86271893,0.18732596,0.10662604,0.22480847
100.86371977,0.18633584,0.10563672,0.22381798
100.86472060,0.18533851,0.10464019,0.22282028
100.86572143,0.18434843,0.10365091,0.22182982
100.86672227,0.18335114,0.10265442,0.22083216
100.86772310,0.18236110,0.10166518,0.21984175
100.86872394,0.18136385,0.10066873,0.21884412
100.86972477,0.18037385,0.09967952,0.21785375
100.87072560,0.17937664,0.09868312,0.21685617
100.87172644,0.17837944,0.09768673,0.21585860
100.87272727,0.17738950,0.09669758,0.21486829
100.87372811,0.17639235,0.09570123,0.21387076
100.87472894,0.17540244,0.09471213,0.21288049
100.87572977,0.17440533,0.09371582,0.21188300
100.87673061,0.17341547,0.09272675,0.21089277
