true_state,decoded_state
10.07245409,10.07618423
10.07262104,10.07618423
10.07278798,10.07618423
10.07295492,10.07618423
10.07312187,10.07618423
10.07328881,10.07618423
10.07345576,10.07618423
10.0736227,10.07618423
10.07378965,10.07618423
10.07395659,10.07618423
10.07412354,10.07618423
10.07429048,10.07618423
10.07445743,10.07618423
10.07462437,10.07618423
10.07479132,10.07618423
10.07495826,10.07618423
10.07512521,10.07618423
10.07529215,10.07618423
10.0754591,10.07618423
10.07562604,10.07618423
10.07579299,10.07618423
10.07595993,10.07618423
10.07612688,10.07618423
10.07629382,10.07618423
10.07646077,10.07618423
10.07662771,10.07618423
10.07679466,10.07618423
10.0769616,10.07618423
10.07712855,10.07618423
